Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
China,CHN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Forest area (sq. km),AG.LND.FRST.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1571405.9375,1591265.9375,1611125.78125,1630985.625,1650845.625,1670705.46875,1690565.46875,1710425.3125,1730285.15625,1750145.15625,1770005,1802091.875,1834178.59375,1866265.46875,1898352.1875,1930439.0625,1945571.875,1960704.53125,1975837.34375,1990970.15625,2006102.96875,2021525,2036947.03125,2052369.0625,2067790.9375,2083212.96875,2098635,..,..
China,CHN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.9392803086493,14.5876416474392,..
China,CHN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.7731958762887,..,..,..,..,17.1027372911482,..,..,..,..,17.7746178457163,..,..,..,..,18.6775684322787,..,..,..,..,19.5449697831497,..,..,..,..,20.3092783505155,..,..,..,..,21.3224315677213,..,21.3224315677213,..,..,..,..
China,CHN,Urban population growth (annual %),SP.URB.GROW,4.93549473168107,2.0535955782573,3.87367811011942,5.49364102057992,5.32734351055203,1.21054285461748,1.83735115939042,1.84240345667628,1.88292890180956,2.01239514705866,2.02873595918483,2.12429188312895,1.83083167159415,2.28339576291405,2.69247959731461,2.38901572313462,1.89157239197393,1.70583298538571,3.48394507218723,5.26137093097064,5.15728370456645,5.13186895071821,5.29566624595188,4.47484202161229,4.3204330245138,4.33904712359308,4.4381005931631,4.5315822084455,4.51483099420354,4.4026320383107,4.30967848070248,4.60168513214318,4.42511729026799,4.30154774283787,4.24584059723498,4.15963799418302,4.08605174394273,4.00828550795805,3.90807856569896,3.77008872976608,3.64925271115854,4.05956575767596,4.19800114764631,4.07840352649768,3.97537212954358,3.88247297575862,3.67472809325703,3.51125555182775,3.43395768889026,3.33810246782671,3.25536549409244,3.05606997004894,2.93954228534437,2.87600166976336,2.82948268527963,2.76955113521558,2.7440693748531,2.69354013822354,..
China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,464.933156978023,477.168708745635,483.717375331655,486.167985783307,527.488337452736,537.174731514959,577.21101059404,617.154901089247,619.043662313404,609.455195748215,597.14671013246,606.830437325878,621.910717182477,651.074958647795,657.759736070939,671.209503276184,694.422359979152,720.341495783521,724.116105126715,766.995329395649,736.851801386885,752.628662540666,788.128723566749,816.162889997357,866.834374260803,881.653737423514,871.756323801394,869.358607334522,878.52453551629,898.987313140273,928.811433738255,984.810714620431,1118.43177274138,1268.13290434581,1393.69132405731,1515.1736777471,1630.17102857988,1672.90411994066,1778.43351862146,1954.72255616896,2086.48690379651,2155.16478775741,2213.75932679132,2236.72990756962,..,..,..,..
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.17038137226978,0.836046900792028,0.661428164381093,0.640001899360285,0.625646053941047,0.665524211218076,0.710891381561055,0.574162146975018,0.60545199674633,0.725149509123457,0.942934534989582,1.04223969658961,1.08067663654397,1.09819569131687,1.09736711056811,1.25012409495905,1.28528313553995,1.38884289658754,1.52920110964112,1.5426750986837,1.49525074931082,1.46043181655825,1.56673968353113,1.62905590778943,1.75044806018373,1.87105479144466,1.93943425697654,2.03841068876927,2.1509052249848,2.15307791087471,2.15157090606377,2.22943963920124,2.30946367545945,2.44280065934625,2.56599389177193,2.75575496636525,2.84430958153669,2.82056789057578,2.67674598026467,2.64864924664833,2.69686243322549,2.74212081298895,3.0070831974383,3.52407409267308,4.03799065100399,4.52317806354125,4.98031419657976,5.33490992916681,5.7019150246668,6.01010243303337,6.56052000702696,7.24151541889549,7.42475091638009,7.55721104480691,7.54390764144927,..,..,..,..
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,151.989347346645,163.911928819183,175.933736988911,174.233353695785,199.039715406566,204.030364731354,220.657053065594,246.555772277797,267.374265354668,281.624687256366,285.817775698396,299.197921933712,317.020257790894,336.411641308803,362.812071852641,391.351624968363,426.554493166734,461.797518222997,487.373173021052,510.619854913516,548.953753106589,604.693683099136,662.63704558569,727.107359659684,770.280241190849,821.080859102296,852.740686543503,870.617222318398,913.963447975829,992.943384720171,1076.54912135865,1194.85629490784,1379.48463210183,1585.83878247787,1782.31215291627,2039.0146603408,2325.92676902765,2446.36905458402,2612.45662004417,2943.58995443689,3298.00391331196,3474.98806170157,3773.40538390134,3927.04449998901,..,..,..,..
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625.3148,50056868957.6732,47209359005.6056,50706799902.5103,59708343488.5043,70436266146.7219,76720285969.6157,72881631326.6715,70846535055.6503,79705906247.4612,92602973434.0726,99800958648.1436,113687586299.051,138544284708.957,144182133387.722,163431551779.761,153940455341.506,174938098826.569,149540752829.268,178280594413.043,191149211575,195866382432.54,205089699858.779,230686747153.257,259946510957.143,309488028132.653,300758100107.246,272972974764.574,312353631207.819,347768051311.741,360857912565.966,383373318083.624,426915712711.146,444731282436.762,564324670005.917,734547898220.508,863746717503.789,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3552182311652.97,4598206091384,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.9,11064666282625.5,11190992550229.5,12237700479375,..
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-27.2700000039461,-5.579999990136,10.2999999952758,18.179999994202,16.950000002496,10.6500000041736,-5.77000000422507,-4.09999999214143,16.9399999961092,19.299999996256,7.0600000033518,3.80999999825444,7.7600000016445,2.31000000049113,8.72000000047512,-1.57000000275067,7.56999999917167,11.6666440032893,7.60000000000034,7.80669144981401,5.17241379310337,8.9344262295084,10.8352144469524,15.1391717583164,13.4433962264152,8.93970893970877,11.68893129771,11.2345151644596,4.18586789554524,3.90711389605613,9.29407591344449,14.2161635832521,13.8675760159137,13.0521587222365,10.9492273730684,9.92837246319102,9.23076923076908,7.83761391880728,7.66748617086637,8.49150849150834,8.33991054985566,9.13064594463337,10.0356030262568,10.1112234580387,11.3957759412304,12.7194790206908,14.231388035688,9.65428937259927,9.39981317141536,10.6361404632298,9.5364430080555,7.85626211026953,7.75763514617024,7.29766595938155,6.90020481672437,6.69999999999993,6.90000000000013,..
